"Stressor ID","Stressor","Journey","Likely attractor","Required residue","Experiment"
"RS-001","AEM Publish unavailable","intake","submission blocked","durable receipt and retry queue","CHAOS-001"
"RS-002","Adobe Sign timeout","signature","signed state unknown","idempotency key and status reconciliation","CHAOS-002"
"RS-003","DoR service fails after signing","document","signed but no document","agreement link and retryable DoR state","CHAOS-003"
"RS-004","Reviewer unavailable","HITL","review queue stall","delegation, SLA escalation, applicant-safe pending state","CHAOS-004"
"RS-005","Duplicate browser submission","intake","duplicate workflow/agreement","idempotent submission response","CHAOS-005"
"RS-006","Regulatory field/model change","data","old and new schemas diverge","versioned mapping and migration path","CHAOS-006"
"RS-007","Observability backend unavailable","operations","blind failure","local correlation and bounded fallback logging","CHAOS-007"
"RS-008","Unexpected demand spike","capacity","queue collapse","backpressure and graceful admission control","CHAOS-008"
"RS-009","Webhook replay or reordering","signature","incorrect status transition","authenticated, deduplicated event handling","CHAOS-009"
"RS-010","Sensitive data classification changes","privacy","data over-retained or exposed","policy-driven redaction and retention","CHAOS-010"
