"Control ID","Criteria","Objective","Implementation","Owner","Evidence","Status"
"CC1.1","Security","Management demonstrates integrity and accountability","Approve security policy and role ownership","Security","policy approval; training record","GAP"
"CC2.1","Security","Relevant security information is communicated","Maintain security, architecture, and release documentation","Engineering","versioned docs; release notes","PARTIAL"
"CC6.1","Security","Logical access is restricted to authorized users","Use AEM least privilege, secret storage, and quarterly reviews","Platform","access export; review sign-off","PARTIAL"
"CC6.6","Security","External threats are mitigated","Use CSRF, webhook validation, rate limits, dependency scanning, and DAST","Security","scan reports; configuration evidence","PARTIAL"
"CC7.2","Security","Security events are detected and handled","Use correlation IDs, structured events, metrics, alerting, and incident runbooks","Operations","alerts; incident tickets; drill record","PARTIAL"
"CC8.1","Security","Changes are authorized, tested, and approved","Require bead, PR review, CI tests, and deployment evidence","Engineering","PR; CI result; deployment record","PARTIAL"
"CC9.2","Security","Vendor risks are assessed","Review Adobe, hosting, telemetry, and subprocessors annually","Compliance","vendor assessments; contracts","GAP"
"A1.2","Availability","Capacity and recovery objectives are met","Define SLOs, circuit breakers, backups, restore tests, and DR exercises","Operations","SLO dashboard; restore evidence","GAP"
"PI1.3","Processing Integrity","Processing is complete, valid, accurate, and timely","Version evaluation policies and test approval/rejection boundaries","Product","policy version; test results; audit trail","PARTIAL"
"C1.2","Confidentiality","Confidential information is protected","Classify data, redact logs, encrypt storage/transit, and enforce retention","Security","classification; encryption config; deletion evidence","PARTIAL"
"P1.1","Privacy","Privacy notice and purpose are defined","Document healthcare/financial data purpose and consent requirements","Privacy","notice; consent record; DPIA","GAP"
