"Stressor","Author","Publish","Forms runtime","FDM/API","Workflow/HITL","Adobe Sign","DoR/DAM","Observability","Primary residue"
"RS-001",0,4,3,2,3,0,0,2,"durable receipt; retry"
"RS-002",0,0,1,0,3,4,2,2,"idempotent agreement; reconciliation"
"RS-003",0,0,1,0,2,2,4,2,"retryable DoR state; agreement link"
"RS-004",0,0,0,0,4,0,0,2,"delegation; pending state"
"RS-005",0,2,3,1,4,3,1,2,"idempotency key"
"RS-006",3,2,4,4,3,1,3,2,"versioned schema/mapping"
"RS-007",0,1,1,1,1,1,1,4,"local correlation; safe fallback"
"RS-008",1,4,4,3,4,2,2,3,"backpressure; admission control"
"RS-009",0,0,0,0,3,4,2,3,"authentication; deduplication"
"RS-010",3,2,3,3,2,2,4,4,"classification policy; retention control"
